Index,Clothes,Tops,Bottoms,Dresses,Outers,Goods,Accessories,Shoes,Summer,Winter,Mild Seasons
0,0,0,0,0,0,1,0,1,0,1,0
1,1,1,0,0,0,0,0,0,1,0,0
2,1,1,0,0,0,0,0,0,1,0,0
3,1,0,0,1,0,0,0,0,1,0,0
4,1,1,0,0,0,0,0,0,1,0,0
5,1,1,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,1,0,1,0,0,1
7,1,1,0,0,0,0,0,0,0,1,0
8,0,0,0,0,0,1,0,1,1,0,0
9,0,0,0,0,0,1,0,1,1,0,0
10,1,1,0,0,0,0,0,0,1,0,0
11,0,0,0,0,0,1,0,1,0,1,0
12,0,0,0,0,0,1,0,1,1,0,0
13,0,0,0,0,0,1,0,1,1,0,0
14,0,0,0,0,0,1,0,1,0,0,1
15,0,0,0,0,0,1,0,1,0,1,0
16,1,0,1,0,0,0,0,0,0,0,1
17,1,1,0,0,0,0,0,0,1,0,0
18,1,1,0,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,0,0,0,1,0
20,1,0,0,1,0,0,0,0,1,0,0
21,1,0,1,0,0,0,0,0,0,0,1
22,1,0,0,0,1,0,0,0,0,1,0
23,0,0,0,0,0,1,1,0,0,0,0
24,1,0,0,0,1,0,0,0,0,1,0
25,1,0,0,1,0,0,0,0,1,0,0
26,1,1,0,0,0,0,0,0,1,0,0
27,1,1,0,0,0,0,0,0,0,1,0
28,1,0,0,0,1,0,0,0,0,1,0
29,1,0,0,0,1,0,0,0,0,1,0
30,0,0,0,0,0,1,0,1,1,0,0
31,1,0,0,1,0,0,0,0,1,0,0
32,1,1,0,0,0,0,0,0,0,0,1
33,1,1,0,0,0,0,0,0,0,0,1
34,1,1,0,0,0,0,0,0,1,0,0
35,0,0,0,0,0,1,1,0,0,0,0
36,0,0,0,0,0,1,0,1,1,0,0
37,1,1,0,0,0,0,0,0,0,1,0
38,1,0,1,0,0,0,0,0,0,0,1
39,1,1,0,0,0,0,0,0,0,0,1
40,1,1,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,1,0,1,0,0,1
42,0,0,0,0,0,1,0,1,0,1,0
43,0,0,0,0,0,1,0,1,1,0,0
44,0,0,0,0,0,1,0,1,0,1,0
45,1,1,0,0,0,0,0,0,0,1,0
46,0,0,0,0,0,1,0,1,0,0,1
47,1,0,0,1,0,0,0,0,1,0,0
48,1,1,0,0,0,0,0,0,1,0,0
49,1,0,0,1,0,0,0,0,1,0,0
50,1,0,0,1,0,0,0,0,1,0,0
51,1,0,0,1,0,0,0,0,1,0,0
52,0,0,0,0,0,1,0,1,0,0,1
53,1,1,0,0,0,0,0,0,0,1,0
54,1,1,0,0,0,0,0,0,0,1,0
55,1,1,0,0,0,0,0,0,0,0,1
56,1,1,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,1,1,0,0,0,0
58,1,0,0,1,0,0,0,0,1,0,0
59,1,0,0,1,0,0,0,0,1,0,0
60,0,0,0,0,0,1,0,1,1,0,0
61,1,1,0,0,0,0,0,0,1,0,0
62,0,0,0,0,0,1,0,1,1,0,0
63,0,0,0,0,0,1,0,1,1,0,0
