Index,Clothes,Tops,Bottoms,Dresses,Outers,Goods,Accessories,Shoes
0,0,0,0,0,0,1,0,1
1,1,1,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0
3,1,0,0,1,0,0,0,0
4,1,1,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0
6,0,0,0,0,0,1,0,1
7,1,1,0,0,0,0,0,0
8,0,0,0,0,0,1,0,1
9,0,0,0,0,0,1,0,1
10,1,1,0,0,0,0,0,0
11,0,0,0,0,0,1,0,1
12,0,0,0,0,0,1,0,1
13,0,0,0,0,0,1,0,1
14,0,0,0,0,0,1,0,1
15,0,0,0,0,0,1,0,1
16,1,0,1,0,0,0,0,0
17,1,1,0,0,0,0,0,0
18,1,1,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0
20,1,0,0,1,0,0,0,0
21,1,0,1,0,0,0,0,0
22,1,0,0,0,1,0,0,0
23,0,0,0,0,0,1,1,0
24,1,0,0,0,1,0,0,0
25,1,0,0,1,0,0,0,0
26,1,1,0,0,0,0,0,0
27,1,1,0,0,0,0,0,0
28,1,0,0,0,1,0,0,0
29,1,0,0,0,1,0,0,0
30,0,0,0,0,0,1,0,1
31,1,0,0,1,0,0,0,0
32,1,1,0,0,0,0,0,0
33,1,1,0,0,0,0,0,0
34,1,1,0,0,0,0,0,0
35,0,0,0,0,0,1,1,0
36,0,0,0,0,0,1,0,1
37,1,1,0,0,0,0,0,0
38,1,0,1,0,0,0,0,0
39,1,1,0,0,0,0,0,0
40,1,1,0,0,0,0,0,0
41,0,0,0,0,0,1,0,1
42,0,0,0,0,0,1,0,1
43,0,0,0,0,0,1,0,1
44,0,0,0,0,0,1,0,1
45,1,1,0,0,0,0,0,0
46,0,0,0,0,0,1,0,1
47,1,0,0,1,0,0,0,0
48,1,1,0,0,0,0,0,0
49,1,0,0,1,0,0,0,0
50,1,0,0,1,0,0,0,0
51,1,0,0,1,0,0,0,0
52,0,0,0,0,0,1,0,1
53,1,1,0,0,0,0,0,0
54,1,1,0,0,0,0,0,0
55,1,1,0,0,0,0,0,0
56,1,1,0,0,0,0,0,0
57,0,0,0,0,0,1,1,0
58,1,0,0,1,0,0,0,0
59,1,0,0,1,0,0,0,0
60,0,0,0,0,0,1,0,1
61,1,1,0,0,0,0,0,0
62,0,0,0,0,0,1,0,1
63,0,0,0,0,0,1,0,1
64,1,1,0,0,0,0,0,0
65,1,1,0,0,0,0,0,0
66,1,1,0,0,0,0,0,0
67,1,1,0,0,0,0,0,0
68,1,0,0,0,1,0,0,0
69,1,0,1,0,0,0,0,0
70,1,0,0,1,0,0,0,0
71,1,0,1,0,0,0,0,0
72,1,1,0,0,0,0,0,0
73,1,0,0,1,0,0,0,0
74,1,0,1,0,0,0,0,0
75,1,0,0,0,1,0,0,0
76,1,0,0,0,1,0,0,0
77,1,1,0,0,0,0,0,0
78,1,0,1,0,0,0,0,0
79,0,0,0,0,0,1,0,1
80,1,0,1,0,0,0,0,0
81,1,0,0,1,0,0,0,0
82,0,0,0,0,0,1,0,1
83,0,0,0,0,0,1,0,1
84,0,0,0,0,0,1,0,1
85,0,0,0,0,0,1,0,1
86,1,0,1,0,0,0,0,0
87,0,0,0,0,0,1,0,1
88,0,0,0,0,0,1,0,1
89,0,0,0,0,0,1,0,1
90,0,0,0,0,0,1,0,1
91,1,0,0,1,0,0,0,0
92,1,1,0,0,0,0,0,0
93,0,0,0,0,0,1,0,1
94,1,0,0,1,0,0,0,0
95,1,1,0,0,0,0,0,0
96,1,0,0,0,1,0,0,0
97,1,0,1,0,0,0,0,0
98,1,0,1,0,0,0,0,0
99,0,0,0,0,0,1,1,0
100,0,0,0,0,0,1,1,0
101,1,1,0,0,0,0,0,0
102,1,0,1,0,0,0,0,0
103,1,0,1,0,0,0,0,0
104,1,1,0,0,0,0,0,0
105,0,0,0,0,0,1,1,0
106,1,0,1,0,0,0,0,0
107,0,0,0,0,0,1,0,1
108,0,0,0,0,0,1,0,1
109,0,0,0,0,0,1,1,0
110,0,0,0,0,0,1,1,0
111,0,0,0,0,0,1,0,1
112,1,1,0,0,0,0,0,0
113,1,1,0,0,0,0,0,0
114,1,0,0,1,0,0,0,0
115,1,0,1,0,0,0,0,0
116,0,0,0,0,0,1,0,1
117,1,0,0,0,1,0,0,0
118,1,1,0,0,0,0,0,0
119,0,0,0,0,0,1,0,1
120,0,0,0,0,0,1,0,1
121,0,0,0,0,0,1,0,1
122,0,0,0,0,0,1,0,1
123,1,1,0,0,0,0,0,0
124,1,1,0,0,0,0,0,0
125,1,1,0,0,0,0,0,0
126,0,0,0,0,0,1,0,1
127,1,1,0,0,0,0,0,0
128,1,0,0,0,1,0,0,0
129,1,0,1,0,0,0,0,0
130,0,0,0,0,0,1,1,0
131,0,0,0,0,0,1,0,1
132,0,0,0,0,0,1,0,1
133,0,0,0,0,0,1,0,1
134,1,0,0,0,1,0,0,0
135,1,1,0,0,0,0,0,0
136,0,0,0,0,0,1,0,1
137,1,0,1,0,0,0,0,0
138,0,0,0,0,0,1,0,1
139,1,0,0,0,1,0,0,0
140,1,1,0,0,0,0,0,0
141,0,0,0,0,0,1,0,1
142,0,0,0,0,0,1,0,1
143,1,0,1,0,0,0,0,0
144,0,0,0,0,0,1,1,0
145,0,0,0,0,0,1,0,1
146,1,0,1,0,0,0,0,0
147,1,1,0,0,0,0,0,0
148,0,0,0,0,0,1,1,0
149,1,1,0,0,0,0,0,0
150,0,0,0,0,0,1,0,1
151,1,0,1,0,0,0,0,0
152,0,0,0,0,0,1,1,0
153,0,0,0,0,0,1,0,1
154,1,1,0,0,0,0,0,0
155,0,0,0,0,0,1,0,1
156,0,0,0,0,0,1,1,0
157,1,1,0,0,0,0,0,0
158,0,0,0,0,0,1,0,1
159,1,1,0,0,0,0,0,0
160,1,1,0,0,0,0,0,0
161,0,0,0,0,0,1,1,0
162,0,0,0,0,0,1,0,1
163,1,0,1,0,0,0,0,0
164,1,1,0,0,0,0,0,0
165,1,1,0,0,0,0,0,0
166,1,0,1,0,0,0,0,0
167,0,0,0,0,0,1,0,1
168,1,1,0,0,0,0,0,0
169,1,1,0,0,0,0,0,0
170,1,0,1,0,0,0,0,0
171,1,1,0,0,0,0,0,0
172,0,0,0,0,0,1,0,1
173,0,0,0,0,0,1,0,1
174,1,0,1,0,0,0,0,0
175,0,0,0,0,0,1,0,1
176,1,1,0,0,0,0,0,0
177,0,0,0,0,0,1,0,1
178,0,0,0,0,0,1,1,0
179,1,0,0,0,1,0,0,0
180,1,1,0,0,0,0,0,0
181,1,0,0,0,1,0,0,0
182,1,1,0,0,0,0,0,0
183,1,1,0,0,0,0,0,0
184,1,1,0,0,0,0,0,0
185,1,0,0,0,1,0,0,0
186,1,1,0,0,0,0,0,0
187,1,1,0,0,0,0,0,0
188,1,0,0,0,1,0,0,0
189,0,0,0,0,0,1,0,1
190,1,0,0,1,0,0,0,0
191,1,1,0,0,0,0,0,0
192,0,0,0,0,0,1,0,1
193,0,0,0,0,0,1,1,0
194,1,0,0,0,1,0,0,0
195,1,0,1,0,0,0,0,0
196,1,0,1,0,0,0,0,0
197,1,1,0,0,0,0,0,0
198,0,0,0,0,0,1,0,1
199,1,1,0,0,0,0,0,0
200,0,0,0,0,0,1,1,0
201,0,0,0,0,0,1,0,1
202,1,1,0,0,0,0,0,0
203,1,1,0,0,0,0,0,0
204,1,0,0,1,0,0,0,0
205,1,0,0,0,1,0,0,0
206,1,1,0,0,0,0,0,0
207,1,1,0,0,0,0,0,0
208,0,0,0,0,0,1,0,1
209,1,0,1,0,0,0,0,0
210,0,0,0,0,0,1,0,1
211,1,0,0,1,0,0,0,0
212,0,0,0,0,0,1,1,0
213,0,0,0,0,0,1,0,1
214,0,0,0,0,0,1,1,0
215,1,0,0,1,0,0,0,0
216,0,0,0,0,0,1,1,0
217,0,0,0,0,0,1,0,1
218,1,1,0,0,0,0,0,0
219,1,1,0,0,0,0,0,0
220,0,0,0,0,0,1,1,0
221,0,0,0,0,0,1,0,1
222,1,1,0,0,0,0,0,0
223,1,0,0,1,0,0,0,0
224,0,0,0,0,0,1,0,1
225,1,1,0,0,0,0,0,0
226,1,1,0,0,0,0,0,0
227,0,0,0,0,0,1,0,1
228,1,1,0,0,0,0,0,0
229,0,0,0,0,0,1,0,1
230,0,0,0,0,0,1,0,1
231,1,1,0,0,0,0,0,0
232,1,1,0,0,0,0,0,0
233,0,0,0,0,0,1,1,0
234,1,1,0,0,0,0,0,0
235,1,1,0,0,0,0,0,0
236,0,0,0,0,0,1,1,0
237,1,1,0,0,0,0,0,0
238,1,0,0,0,1,0,0,0
239,1,0,0,0,1,0,0,0
240,1,0,0,0,1,0,0,0
241,1,0,0,0,1,0,0,0
242,1,0,0,0,1,0,0,0
243,1,0,1,0,0,0,0,0
244,0,0,0,0,0,1,0,1
245,1,1,0,0,0,0,0,0
246,0,0,0,0,0,1,0,1
247,1,0,0,1,0,0,0,0
248,1,0,0,1,0,0,0,0
249,0,0,0,0,0,1,0,1
250,1,0,0,1,0,0,0,0
251,1,0,0,1,0,0,0,0
252,1,1,0,0,0,0,0,0
253,1,1,0,0,0,0,0,0
254,0,0,0,0,0,1,1,0
255,1,0,0,0,1,0,0,0
256,1,1,0,0,0,0,0,0
257,0,0,0,0,0,1,0,1
258,0,0,0,0,0,1,0,1
259,1,0,0,1,0,0,0,0
260,1,1,0,0,0,0,0,0
261,1,0,0,1,0,0,0,0
262,1,1,0,0,0,0,0,0
263,1,0,0,0,1,0,0,0
264,1,0,0,0,1,0,0,0
265,0,0,0,0,0,1,1,0
266,1,1,0,0,0,0,0,0
267,0,0,0,0,0,1,0,1
268,1,0,0,1,0,0,0,0
269,1,1,0,0,0,0,0,0
270,0,0,0,0,0,1,0,1
271,1,1,0,0,0,0,0,0
272,1,1,0,0,0,0,0,0
273,1,1,0,0,0,0,0,0
274,0,0,0,0,0,1,0,1
275,0,0,0,0,0,1,0,1
276,1,1,0,0,0,0,0,0
277,1,0,0,1,0,0,0,0
278,1,0,1,0,0,0,0,0
279,0,0,0,0,0,1,0,1
280,1,1,0,0,0,0,0,0
281,1,1,0,0,0,0,0,0
282,0,0,0,0,0,1,0,1
283,1,0,1,0,0,0,0,0
284,0,0,0,0,0,1,0,1
285,1,0,1,0,0,0,0,0
286,1,0,1,0,0,0,0,0
287,0,0,0,0,0,1,1,0
288,0,0,0,0,0,1,0,1
289,0,0,0,0,0,1,1,0
290,1,0,0,0,1,0,0,0
291,1,1,0,0,0,0,0,0
292,1,1,0,0,0,0,0,0
293,1,1,0,0,0,0,0,0
294,0,0,0,0,0,1,0,1
295,0,0,0,0,0,1,0,1
296,1,0,0,0,1,0,0,0
297,1,1,0,0,0,0,0,0
298,1,0,1,0,0,0,0,0
299,0,0,0,0,0,1,0,1
300,0,0,0,0,0,1,0,1
301,1,1,0,0,0,0,0,0
302,1,1,0,0,0,0,0,0
303,0,0,0,0,0,1,0,1
304,1,1,0,0,0,0,0,0
305,1,0,1,0,0,0,0,0
306,1,1,0,0,0,0,0,0
307,1,0,1,0,0,0,0,0
308,1,0,1,0,0,0,0,0
