,Clothes,Tops,Bottoms,Dresses,Outers,Goods,Accessories,Shoes,Summer,Winter,Mild Seasons,T-Shirt,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
Clothes,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Tops,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bottoms,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Dresses,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Outers,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Goods,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Accessories,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Shoes,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Summer,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Winter,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mild Seasons,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
T-Shirt,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Trouser,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Pullover,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Dress,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Coat,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Sandal,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Shirt,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Sneaker,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bag,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Ankle boot,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
