,,,,test_task_accuracy,test_task_accuracy,test_concept_accuracy,test_concept_accuracy,CCI,CCI,PFI_concept_importance,PFI_concept_importance
,,,,mean,std,mean,std,mean,std,mean,std
dataset,action,noise_level,expert,,,,,,,,
Complete_Concept_FMNIST,addition,high,0,0.9232,,0.9726,,0.9983,,0.8041,
Complete_Concept_FMNIST,addition,high,1,0.9267,,0.9732,,0.998,,0.8059,
Complete_Concept_FMNIST,addition,high,2,0.9265,,0.9732,,0.9989,,0.8046,
Complete_Concept_FMNIST,addition,high,3,0.9241,,0.9727,,0.9986,,0.795,
Complete_Concept_FMNIST,addition,high,4,0.9237,,0.9812,,0.9986,,0.7979,
Complete_Concept_FMNIST,addition,low,0,0.9256,,0.973,,0.9944,,0.7901,
Complete_Concept_FMNIST,addition,low,1,0.9251,,0.9729,,0.9942,,0.7912,
Complete_Concept_FMNIST,addition,low,2,0.924,,0.9812,,0.9953,,0.7892,
Complete_Concept_FMNIST,addition,low,3,0.9253,,0.9727,,0.9952,,0.7706,
Complete_Concept_FMNIST,addition,low,4,0.9244,,0.9817,,0.9917,,0.7738,
Complete_Concept_FMNIST,addition,medium,0,0.925,,0.9728,,0.9966,,0.8047,
Complete_Concept_FMNIST,addition,medium,1,0.9248,,0.9729,,0.9971,,0.8042,
Complete_Concept_FMNIST,addition,medium,2,0.9245,,0.9727,,0.998,,0.8046,
Complete_Concept_FMNIST,addition,medium,3,0.9257,,0.973,,0.9978,,0.8051,
Complete_Concept_FMNIST,addition,medium,4,0.9239,,0.9812,,0.9976,,0.8001,
Complete_Concept_FMNIST,deletion,high,0,0.922,,0.9668,,0.4362,,0.5292,
Complete_Concept_FMNIST,deletion,high,1,0.9222,,0.9653,,0.2221,,0.2953,
Complete_Concept_FMNIST,deletion,high,2,0.8219,,0.917,,0.168,,0.2444,
Complete_Concept_FMNIST,deletion,high,3,0.8264,,0.9335,,0.5662,,0.4882,
Complete_Concept_FMNIST,deletion,high,4,0.9199,,0.9356,,-0.1257,,0.2807,
Complete_Concept_FMNIST,deletion,low,0,0.9231,,0.938,,0.7811,,0.7584,
Complete_Concept_FMNIST,deletion,low,1,0.9243,,0.9804,,0.9387,,0.7593,
Complete_Concept_FMNIST,deletion,low,2,0.8253,,0.9726,,0.955,,0.7127,
Complete_Concept_FMNIST,deletion,low,3,0.9229,,0.9786,,0.9478,,0.7896,
Complete_Concept_FMNIST,deletion,low,4,0.9203,,0.9548,,0.8678,,0.7446,
Complete_Concept_FMNIST,deletion,medium,0,0.9211,,0.9628,,0.5759,,0.6284,
Complete_Concept_FMNIST,deletion,medium,1,0.9197,,0.933,,0.531,,0.5861,
Complete_Concept_FMNIST,deletion,medium,2,0.919,,0.9504,,0.6084,,0.6513,
Complete_Concept_FMNIST,deletion,medium,3,0.9206,,0.9551,,0.6705,,0.6567,
Complete_Concept_FMNIST,deletion,medium,4,0.9197,,0.9277,,0.7644,,0.6348,
Complete_Concept_FMNIST,reversal,high,0,0.922,,0.967,,0.4362,,0.5292,
Complete_Concept_FMNIST,reversal,high,1,0.9155,,0.9654,,0.2083,,0.2869,
Complete_Concept_FMNIST,reversal,high,2,0.8241,,0.9154,,0.1933,,0.2445,
Complete_Concept_FMNIST,reversal,high,3,0.8262,,0.9331,,0.5639,,0.4872,
Complete_Concept_FMNIST,reversal,high,4,0.923,,0.9359,,-0.111,,0.2883,
Complete_Concept_FMNIST,reversal,low,0,0.9228,,0.9387,,0.7825,,0.7635,
Complete_Concept_FMNIST,reversal,low,1,0.9244,,0.9802,,0.9422,,0.7571,
Complete_Concept_FMNIST,reversal,low,2,0.8261,,0.9726,,0.9459,,0.7096,
Complete_Concept_FMNIST,reversal,low,3,0.9225,,0.9784,,0.9441,,0.7702,
Complete_Concept_FMNIST,reversal,low,4,0.9209,,0.9548,,0.8623,,0.745,
Complete_Concept_FMNIST,reversal,medium,0,0.9224,,0.9627,,0.5601,,0.6189,
Complete_Concept_FMNIST,reversal,medium,1,0.9211,,0.9325,,0.5327,,0.577,
Complete_Concept_FMNIST,reversal,medium,2,0.9186,,0.9491,,0.5967,,0.6513,
Complete_Concept_FMNIST,reversal,medium,3,0.9203,,0.9553,,0.6851,,0.6645,
Complete_Concept_FMNIST,reversal,medium,4,0.9221,,0.9276,,0.7565,,0.6477,
