dataset,graph_type,edge_count,Task Accuracy,Concept Accuracy,CCI
CelebA,u2c,5,0.7897 ± 0.0159,0.8088 ± 0.0062,0.9024 ± 0.1303
CelebA,u2c,6,0.7926 ± 0.0144,0.8074 ± 0.0037,0.8859 ± 0.1103
CelebA,u2c,7,0.7944 ± 0.0186,0.8078 ± 0.0127,0.8971 ± 0.1131
CelebA,u2c,8,0.7929 ± 0.0221,0.8046 ± 0.0097,0.8848 ± 0.1119
CelebA,u2c,9,0.7896 ± 0.0141,0.8082 ± 0.0048,0.8809 ± 0.1122
CelebA,u2c,10,0.7904 ± 0.0132,0.8061 ± 0.0095,0.8718 ± 0.1176
CelebA,u2c,11,0.7899 ± 0.0136,0.8100 ± 0.0033,0.8897 ± 0.1114
CelebA,u2c,12,0.7920 ± 0.0144,0.8089 ± 0.0030,0.8952 ± 0.1129
CelebA,u2c,13,0.7954 ± 0.0160,0.8086 ± 0.0052,0.8782 ± 0.1138
CelebA,u2c,14,0.7917 ± 0.0155,0.8068 ± 0.0068,0.8882 ± 0.1109
CelebA,u2c,15,0.7926 ± 0.0143,0.8060 ± 0.0055,0.8782 ± 0.1142
Complete_Concept_FMNIST,u2c,12,0.9231 ± 0.0015,0.9811 ± 0.0004,0.9918 ± 0.0024
Complete_Concept_FMNIST,u2c,13,0.9235 ± 0.0011,0.9812 ± 0.0002,0.9913 ± 0.0015
Complete_Concept_FMNIST,u2c,14,0.9235 ± 0.0016,0.9811 ± 0.0006,0.9910 ± 0.0017
Complete_Concept_FMNIST,u2c,15,0.9238 ± 0.0017,0.9812 ± 0.0005,0.9911 ± 0.0020
Complete_Concept_FMNIST,u2c,16,0.9239 ± 0.0017,0.9811 ± 0.0004,0.9906 ± 0.0015
Complete_Concept_FMNIST,u2c,17,0.9235 ± 0.0018,0.9811 ± 0.0005,0.9909 ± 0.0026
Complete_Concept_FMNIST,u2c,18,0.9241 ± 0.0021,0.9813 ± 0.0006,0.9908 ± 0.0025
Complete_Concept_FMNIST,u2c,19,0.9236 ± 0.0012,0.9813 ± 0.0003,0.9910 ± 0.0022
Complete_Concept_FMNIST,u2c,20,0.9240 ± 0.0016,0.9812 ± 0.0002,0.9915 ± 0.0025
Complete_Concept_FMNIST,u2c,21,0.9229 ± 0.0011,0.9811 ± 0.0003,0.9901 ± 0.0017
Complete_Concept_FMNIST,u2c,22,0.9238 ± 0.0016,0.9812 ± 0.0006,0.9924 ± 0.0022
