,,,,test_task_accuracy,test_task_accuracy,test_concept_accuracy,test_concept_accuracy,CCI,CCI,PFI_concept_importance,PFI_concept_importance,intervention_acc_max,intervention_acc_max
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,action,noise_level,etype,,,,,,,,,,
Complete_Concept_FMNIST,addition,high,average,0.9256,0.0007,0.9815,0.0005,0.997,0.0051,,,1.0,0.0
Complete_Concept_FMNIST,addition,low,average,0.9266,0.0007,0.9819,0.0002,0.9463,0.0076,,,1.0,0.0
Complete_Concept_FMNIST,addition,medium,average,0.9257,0.0009,0.9818,0.0003,0.9805,0.0052,,,1.0,0.0
Complete_Concept_FMNIST,deletion,high,average,0.9269,0.0006,0.9818,0.0002,0.2362,0.0135,,,0.9721,0.0025
Complete_Concept_FMNIST,deletion,low,average,0.9272,0.0004,0.9822,0.0001,0.7284,0.0158,,,1.0,0.0
Complete_Concept_FMNIST,deletion,medium,average,0.9277,0.0013,0.9821,0.0003,0.4373,0.0168,,,0.9879,0.0011
Complete_Concept_FMNIST,reversal,high,average,0.9272,0.0012,0.9818,0.0001,0.235,0.0106,,,0.9719,0.0032
Complete_Concept_FMNIST,reversal,low,average,0.9273,0.001,0.9822,0.0002,0.7241,0.0193,,,1.0,0.0
Complete_Concept_FMNIST,reversal,medium,average,0.9276,0.0013,0.9821,0.0001,0.4415,0.0092,,,0.9879,0.0007
