,,,,test_task_accuracy,test_task_accuracy,test_concept_accuracy,test_concept_accuracy,CCI,CCI,u2c_f1,u2c_f1,c2y_f1,c2y_f1,concept_leakage,concept_leakage
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,method,M,disagreement_level,,,,,,,,,,,,
CelebA,edge,5,high,0.78,0.0153,0.8034,0.0047,0.7329,0.0851,0.0,0.0,0.2222,0.0,0.0,0.0
CelebA,edge,5,low,0.7894,0.018,0.8057,0.0058,0.3493,1.0199,0.0364,0.0813,0.4291,0.065,0.0,0.0
CelebA,edge,5,medium,0.7866,0.0199,0.8093,0.0047,0.7464,0.0938,0.0,0.0,0.2222,0.0,0.0,0.0
CelebA,edge,5,structured_bias,0.7886,0.0279,0.8061,0.0053,0.5914,0.3285,0.0606,0.105,0.2815,0.1026,0.0,0.0
CelebA,edge,10,high,0.7832,0.0159,0.8092,0.0053,0.7287,0.0942,0.0,0.0,0.2222,0.0,0.0,0.0
CelebA,edge,10,low,0.7937,0.0204,0.8074,0.0054,0.7425,0.1226,0.0404,0.0802,0.4323,0.0641,0.0,0.0
CelebA,edge,10,medium,0.7927,0.0205,0.8112,0.0061,0.6973,0.1839,0.0,0.0,0.2933,0.0918,0.0,0.0
CelebA,edge,10,structured_bias,0.7942,0.0204,0.8107,0.0048,0.7285,0.1372,0.0364,0.0767,0.3224,0.1381,0.0,0.0
CelebA,graph,5,high,0.7834,0.0124,0.8048,0.0091,0.7738,0.0536,0.2527,0.0025,0.2222,0.0,0.0,0.0
CelebA,graph,5,low,0.7927,0.0168,0.8072,0.0045,0.8278,0.0784,0.6571,0.013,0.9333,0.0,0.0,0.0
CelebA,graph,5,medium,0.7946,0.0104,0.804,0.0043,0.5686,0.4944,0.3572,0.0066,0.6667,0.0,0.0,0.0
CelebA,graph,5,structured_bias,0.789,0.0121,0.8053,0.0072,0.7943,0.051,0.5236,0.006,0.9333,0.0,0.0,0.0
CelebA,graph,10,high,0.7803,0.0087,0.7998,0.009,0.3804,0.9109,0.2527,0.0023,0.2578,0.075,0.0,0.0
CelebA,graph,10,low,0.7881,0.017,0.8064,0.0038,0.8233,0.0525,0.7575,0.0212,0.9481,0.0294,0.0,0.0
CelebA,graph,10,medium,0.7893,0.0195,0.8053,0.004,0.7849,0.0764,0.3265,0.0219,0.7692,0.0,0.0,0.0
CelebA,graph,10,structured_bias,0.7895,0.0179,0.8052,0.0047,0.8219,0.0543,0.5314,0.0361,0.901,0.0608,0.0,0.0
CelebA,intersection,5,medium,0.7769,,0.7929,,0.0,,0.6667,,0.0,,0.0,
CelebA,intersection,10,high,0.7945,0.0139,0.7989,0.0101,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0
CelebA,intersection,10,low,0.7841,0.0115,0.7918,0.0159,1.7321,1.3627,0.8889,0.0,0.2222,0.0,0.0,0.0
CelebA,intersection,10,medium,0.7944,0.014,0.7973,0.0098,0.0,0.0,0.8235,0.0,0.0,0.0,0.0,0.0
CelebA,intersection,10,structured_bias,0.7944,0.014,0.7973,0.0098,0.0,0.0,0.8235,0.0,0.0,0.0,0.0,0.0
CelebA,majority,10,high,0.8,0.0138,0.8032,0.0068,0.0,0.0,0.2545,0.0,0.0,0.0,0.0,0.0
CelebA,majority,10,low,0.7897,0.0154,0.8095,0.0028,0.7745,0.109,0.9474,0.0,0.9333,0.0,0.0,0.0
CelebA,majority,10,medium,0.7785,0.0218,0.8019,0.0043,3.9134,5.9957,0.3256,0.0,0.4,0.0,0.0,0.0
CelebA,majority,10,structured_bias,0.7872,0.0066,0.8075,0.0045,0.823,0.0362,0.8333,0.0,0.8571,0.0,0.0,0.0
CelebA,union,10,high,0.7845,0.0142,0.8057,0.0054,0.8328,0.071,0.25,0.0,0.9333,0.0,0.0,0.0
CelebA,union,10,low,0.7913,0.0169,0.8039,0.0042,0.8345,0.0747,0.3448,0.0,1.0,0.0,0.0,0.0
CelebA,union,10,medium,0.7931,0.0215,0.8011,0.0079,0.8395,0.0713,0.339,0.0,1.0,0.0,0.0,0.0
CelebA,union,10,structured_bias,0.7933,0.0185,0.8029,0.007,0.8587,0.1044,0.3448,0.0,1.0,0.0,0.0,0.0
Complete_Concept_FMNIST,edge,5,high,0.9263,0.001,0.9734,0.0002,0.9845,0.0018,0.0,0.0,0.6696,0.0168,0.0,0.0
Complete_Concept_FMNIST,edge,5,low,0.9259,0.0004,0.9731,0.0001,0.9829,0.0015,0.0,0.0,0.6696,0.0168,0.0,0.0
Complete_Concept_FMNIST,edge,5,medium,0.9267,0.0011,0.9733,0.0003,0.9837,0.0017,0.0,0.0,0.6815,0.0212,0.0,0.0
Complete_Concept_FMNIST,edge,5,structured_bias,0.926,0.0009,0.9732,0.0003,0.9815,0.0032,0.0,0.0,0.6877,0.0131,0.0,0.0
Complete_Concept_FMNIST,edge,10,high,0.9261,0.0008,0.9736,0.0004,0.9849,0.0003,0.0,0.0,0.7111,0.0,0.0,0.0
Complete_Concept_FMNIST,edge,10,medium,0.9264,0.001,0.9734,0.0002,0.9837,0.0023,0.0,0.0,0.6815,0.02,0.0,0.0
Complete_Concept_FMNIST,edge,10,structured_bias,0.9256,0.0007,0.9732,0.0002,0.9828,0.0018,0.0,0.0,0.6634,0.0158,0.0,0.0
Complete_Concept_FMNIST,graph,5,high,0.9251,0.001,0.9729,0.0002,0.9952,0.0004,0.1692,0.0019,0.0622,0.0,0.0,0.0
Complete_Concept_FMNIST,graph,5,low,0.9249,0.0011,0.9731,0.0002,0.9874,0.0013,0.5919,0.0259,0.4528,0.0,0.0,0.0
