dataset,noise_percent,graph_distance,different_edges,added_edges,deleted_edges,perturbed_edges,test_task_accuracy,test_concept_accuracy,test_dropout_task_accuracy,PFI_concept_importance,PFI_side_importance,csv_path
cub,10,0.0999958908612754,9734,6750,2984,33854,0.7293752431869507,0.8683152198791504,0.7204188704490662,0.6953814565110791,0.0144684430488766,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_010/last_metrics/CREAM_cub_progressive_noise_010.csv
cub,20,0.2000020545693622,19469,13510,5959,37639,0.7309285402297974,0.8680127859115601,0.7204188704490662,0.6925819748173017,0.0180497000503012,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_020/last_metrics/CREAM_cub_progressive_noise_020.csv
cub,30,0.2999979454306377,29203,20197,9006,41279,0.731964111328125,0.8668143153190613,0.726177990436554,0.6894477150561195,0.0167052228227747,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_030/last_metrics/CREAM_cub_progressive_noise_030.csv
cub,40,0.4000041091387245,38938,26937,12001,45024,0.7304107546806335,0.8664443492889404,0.7193717360496521,0.6840541789125977,0.0207179690403161,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_040/last_metrics/CREAM_cub_progressive_noise_040.csv
cub,50,0.5,48672,33612,15060,48640,0.7290300130844116,0.864120602607727,0.7157068252563477,0.672109060374712,0.0263720910961479,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_050/last_metrics/CREAM_cub_progressive_noise_050.csv
cub,60,0.5999958908612755,58406,40410,17996,52502,0.729720413684845,0.8617952466011047,0.7047120332717896,0.6615205517587145,0.0406178938367262,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_060/last_metrics/CREAM_cub_progressive_noise_060.csv
cub,70,0.7000020545693623,68141,47047,21094,56041,0.7288574576377869,0.8601371049880981,0.6844677329063416,0.6306265290910144,0.0686071987492815,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_070/last_metrics/CREAM_cub_progressive_noise_070.csv
cub,80,0.7999979454306377,77875,53769,24106,59751,0.7105626463890076,0.8601277470588684,0.6127399802207947,0.5384673754190387,0.146651704034848,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_080/last_metrics/CREAM_cub_progressive_noise_080.csv
cub,90,0.9000041091387245,87610,60537,27073,63552,0.696410059928894,0.86598801612854,0.3539266884326935,0.3479375021104611,0.3961580751170196,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_090/last_metrics/CREAM_cub_progressive_noise_090.csv
cub,100,1.0,97344,67256,30088,67256,0.7176389098167419,0.8721736073493958,0.0052356021478772,-2.7014462888885763e-08,0.7124663174798417,/home/dani00003/mCREAM/experiments/CUB/train_cbm/Standard_CUB/cub_progressive_noise/CREAM_cub_progressive_noise/noise_100/last_metrics/CREAM_cub_progressive_noise_100.csv
